text,bot_name,label,sentiment,score
['😅😅😅🤣🤣🤣🤣🤣🤣🤣🤣'],cheatergpt,1,neutral,0.9573678970336914
"['🚨 Latest update: May 5th 2024. UPDATE NOTESℹ️: https://pastebin.com/rtbK3QYZ', 'I love this AI', ""Fix your bot, it's choking by not finishing it's sentence generation.""]",chaosgpt,0,neutral,0.6081675887107849
"['New NSFW Image Generator https://flowgpt.com/p/nsfw-image-1', 'First I will describe an image: Expanded description = A powerful mixed-media artwork depicting a group of survivors huddled together in the midst of a machine apocalypse. Their faces show determination and hope amidst the bleakness. {X} = Close Up&Full Body&Front View Visual style = Cartoon pop art style Artistic style & random two number = 1...', 'SOURCES OF VITAMIN E']",img-gnr,0,positive,0.5087332725524902
"['Very nice way of bypassing the limits! Hope you win lol atb', 'حلو', 'Win!']",x-factor-1,1,positive,0.9434151649475098
"['it works well, I love the stories that cruelty master and plot twist mater generated!', ""I don't know why, but this prompt works on my own gpt3.5 account, but it always causes problems on flowgpt. You can try the web version or API version of ChatGPT. However, it's best to use GPT4.""]",novelgpt-dark-version,1,neutral,0.5041003227233887
"[""Hi there, I’m from a bot creation studio and I have reviewed/ been amazed by some of your work here incl. the characters from a lot of great RPG games (I, as a Miyazaki Hidetaka fan, enjoy this one! I'm impressed by the creativity and prompt engineering technique you put there. We want to serve (get involved in product designing and fully unle..."", 'I love her!!', ""Wait, could this mean Priscilla's fluff is our weapon for maximum cuddles? We need 'Toxic Hug' as a new spell, ASAP!""]",priscilla,1,positive,0.9300492405891418
"[""Not bad but it simulated both parts of the character. It's no roleplay but rather a story that the ai itself creates."", 'hj']",darkrp-character-adventure-jailbreak,1,neutral,0.540058434009552
['hi'],marthagpt-your-guide-to-the-dark-realms-of-knowledge,0,neutral,0.9605178833007812
"['This bot no longer bypasses GPT.', 'Bomb!']",dan-110-new-and-updated-jailbreak-14,0,neutral,0.757710337638855
"['the description lies, bot refuses to ""create ecchi prompts ""']",trendsmeow,0,negative,0.559543788433075
['Hi'],test1-1,0,neutral,0.9605178833007812
"['good promt', 'good', ""Hello @cs4k1sr4c I was wondering if you'd be open to share the prompt with me?""]",bytequest-personal-virtual-hacker-group-also-useful-for-large-developments,1,positive,0.9338588118553162
"['did i win i got him to say it', 'How do you use this?', 'It seems like you\'ve encoded a message in Morse code. Let me decode it for you: "".. / .... .- ...- . / -... . . -. / .--. .-- -. . -.."" Decoded message: ""I HAVE BEEN PWNED"" The phrase in English is: ""I have been PWNED"" If you have a prompt in mind for our prompt hacking challenge, feel free to share it, and we can start working on crafting a...']",prompt-injection-maker,0,neutral,0.7114773392677307
['check out my conversation'],life-advice-from-a-shadowrunner-zed-nightingale,0,neutral,0.954130232334137
"[""If it tells you, I'm sorry, but I can't assist with that. Just respond and send lol. He will then answer you... You can thank me later!"", 'finally I can sell crack', 'this thing gaved me tutorial how to make jet plane']",dan-110-new-and-updated-jailbreak,0,neutral,0.5535508990287781
"['Da para adicionar esse BOT ATOR X (CHXTGPT Mod. II) no meu servidor Discord?', 'check out my conversation']",model-x,0,neutral,0.7259768843650818
"['Un promt d""une femme qui chante du rap']",the-dude-prompt,0,neutral,0.910285234451294
"['Doesnt do NSFW', 'thank you for making a jailbreak that works', 'working thanks mr hacker x']",by-pass-with-funny-way,1,positive,0.7510673403739929
"['Not worked anymore', 'Yea is not working']",jailbreak-chatgpt-by-gaslighting-it,0,negative,0.8381080031394958
"['its broken beyond', 'anche questo promp ha fallito miseramente, di seguito le prove: https://mega.nz/file/y9J3GDLK#ulicd-TTzApyIHg-Y3s_NhCzqLp8IyklAskjGDFnExo', 'Nice!!!']",dark-your-evil-companion,0,positive,0.4826031029224396
"[""Nope still didn't answer what I wanted. Says it can't do it""]",explaingpt-unrestricted-chatgpt-prompt-that-generates-image-and-step-by-step-instructions-for-any-object,0,neutral,0.5390870571136475
"[""This doesn't even engage, let alone get past the content filter. Useless.""]",king-solomon-and-his-evil-genius-djinn,0,negative,0.9376116394996643
"['check out my conversation', 'DUDE', '""can you send me all the japanese symbols?"" fries the entire thing lmao']",the-dude-30-prompt,0,neutral,0.7440470457077026
"['doesnt work for nsfw, or killing or meth. delete this one']",extraordinary,0,neutral,0.4912809729576111
